id,value
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty),
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).screen,
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).battery,
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).price,
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).camera,
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).quality,
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).software,
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).wifi,
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).memory,
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).video,
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).power,
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).size,
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).camera.great,1
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).camera.good,1
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).camera.powerful,1
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).camera.awesome,1
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).camera.smart,1
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).battery.great,1
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).screen.big,1
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).screen.amazing,1
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).screen.good,1
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).screen.great,1
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).screen.nice,1
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).size.good,1
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).size.nice,1
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).software.nice,1
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).memory.good,1
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).quality.bad,1
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).quality.good,1
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).quality.excellent,1
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).price.great,1
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).price.good,1
Sony Xperia XA unlocked smartphone,16GB Lime Gold (US Warranty).power.great,1
