None,sum,mean,count_nonzero,std
None,sentiment_compound_polarity,sentiment_compound_polarity,sentiment_compound_polarity,sentiment_compound_polarity
BrandName,,,,
All,127272.2743,0.365071364482,303869.0,0.511397148996
Samsung,25251.7473,0.38418554193,57272.0,0.491989823041
BLU,23175.4543,0.366433518325,55001.0,0.505285427928
Apple,21110.6151,0.362856272882,50505.0,0.48879919562
LG,8388.0838,0.374300928157,19793.0,0.517107664684
Nokia,6888.3735,0.409900238024,14905.0,0.532612092086
BlackBerry,4067.1949,0.24106181247,13555.0,0.541224644322
Motorola,5168.0037,0.38518325259,11989.0,0.526235730442
HTC,3928.0973,0.30871560044,11267.0,0.553653743203
CNPGD,3279.0462,0.259973535241,10344.0,0.503723659909
OtterBox,3966.772,0.496653562038,7354.0,0.428795909836
